AvgStoryQ	MinStoryQ	MinCosSim	MinVariance	CCAMatchCount	CCAArtMatchRatio	CCAAvgMatchWgt	CCAAvgCosSim	ConceptCosSim	EntityCosSim	KeywordCosSim	ConceptJaccardSim	EntityJaccardSim	KeywordJaccardSim	TimeDiff	CoreTimeDiff	ExtractedDateJaccardSim	MatchingDateCount	MatchingDateRatio	CategorySim	HasSameLocation	DummyVar	ShouldMerge	Language pair
c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d	string
																						class	meta
11.500	8.000	0.436	0.307	13.000	0.070	82.846	0.681	0.600	0.470	0.702	0.333	0.304	0.364	18.074	31.583	?	0.000	0.000	0.000	1.000	1.000	yes	eng-spa	
12.500	10.000	0.626	0.561	10.000	0.060	63.500	0.628	0.278	0.582	0.144	0.099	0.111	0.091	71.243	1.017	0.000	0.000	0.000	0.000	0.000	1.000	yes	eng-spa	
16.500	15.000	0.654	0.401	49.000	0.350	83.286	0.756	0.356	0.808	0.089	0.133	0.389	0.053	3.460	6.683	0.000	0.000	0.000	0.000	1.000	1.000	yes	deu-eng	
16.500	4.000	0.562	0.343	0.000	0.000	0.000	0.000	0.038	0.015	0.052	0.022	0.030	0.017	5.134	7.100	0.000	0.000	0.000	0.000	?	1.000	no	deu-spa	
16.500	12.000	0.450	0.248	95.000	0.301	82.737	0.714	0.459	0.693	0.176	0.138	0.393	0.017	16.643	13.933	0.000	0.000	0.000	0.000	1.000	1.000	yes	eng-spa	
15.000	14.000	0.481	0.188	78.000	0.565	86.244	0.752	0.861	0.870	0.861	0.500	0.625	0.364	3.654	13.250	0.000	0.000	0.000	0.000	1.000	1.000	yes	deu-spa	
21.000	5.000	0.413	0.226	0.000	0.000	0.000	0.000	0.043	0.118	0.002	0.031	0.051	0.017	9.324	19.183	0.000	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
30.000	22.000	0.720	0.074	85.000	0.307	82.906	0.838	0.546	0.881	0.126	0.221	0.355	0.130	16.388	4.200	?	0.000	0.000	0.000	0.000	1.000	yes	deu-eng	
11.000	7.000	0.520	0.215	2.000	0.014	45.500	0.793	0.061	0.002	0.103	0.069	0.031	0.091	31.850	22.383	?	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
10.500	7.000	0.568	0.524	4.000	0.020	33.750	0.593	0.012	0.000	0.018	0.020	0.000	0.034	42.818	94.850	?	0.000	0.000	0.000	?	1.000	no	deu-eng	
